"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"使用AI助手上传不支持打开的文件后点击进行预览会有test提示","19638","使用AI助手上传不支持打开的文件后点击进行预览会有test提示","aircases.test_ai_upload.air","Fri Jun 27 10:23:00 CST 2025","broken","Fri Jun 27 10:23:20 CST 2025","","test_ai_upload","",""
"在笔记页AI进行的对话不能在AI助手页历史会话页面查看","47425","在笔记页AI进行的对话不能在AI助手页历史会话页面查看","aircases.test_ai_history.air","Fri Jun 27 10:17:07 CST 2025","passed","Fri Jun 27 10:17:55 CST 2025","","test_ai_history","",""
"AI助手对话详情页上传文件过程中返回会有test提示","49361","AI助手对话详情页上传文件过程中返回会有test提示","aircases.test_ai_upload.air","Fri Jun 27 10:17:55 CST 2025","passed","Fri Jun 27 10:18:44 CST 2025","","test_ai_upload","",""
"上传文件进入对话后在“文件正在上传中”点击取消","53507","上传文件进入对话后在“文件正在上传中”点击取消","aircases.test_ai_upload.air","Fri Jun 27 10:25:32 CST 2025","passed","Fri Jun 27 10:26:26 CST 2025","","test_ai_upload","",""
"笔记列表右侧菜单功能校验-文件夹移动分组","79999","笔记列表右侧菜单功能校验-文件夹移动分组","aircases.test_notes_create_folder.air","Fri Jun 27 11:29:16 CST 2025","passed","Fri Jun 27 11:30:36 CST 2025","","test_notes_create_folder","",""
"批量处理入口，第一行显示全选/取消全选、移动、删除、退出按钮，全选框未勾选时，移动、删除按钮不可点击，点击退出批量处理按钮，退出批量处理模式，最后执行","18942","批量处理入口，第一行显示全选/取消全选、移动、删除、退出按钮，全选框未勾选时，移动、删除按钮不可点击，点击退出批量处理按钮，退出批量处理模式，最后执行","aircases.test_zbulk_operations.air","Fri Jun 27 12:00:48 CST 2025","passed","Fri Jun 27 12:01:07 CST 2025","","test_zbulk_operations","",""
"设置默认模版后不影响 现有笔记已设置的模版校验","117229","设置默认模版后不影响 现有笔记已设置的模版校验","aircases.test_note_template.air","Fri Jun 27 11:03:29 CST 2025","passed","Fri Jun 27 11:05:26 CST 2025","","test_note_template","",""
"中英翻译助手页上传文件过程中返回会有test提示","29635","中英翻译助手页上传文件过程中返回会有test提示","aircases.test_ai_upload.air","Fri Jun 27 10:19:05 CST 2025","passed","Fri Jun 27 10:19:35 CST 2025","","test_ai_upload","",""
"上传单个文件过程中点击×后删除文件","25333","上传单个文件过程中点击×后删除文件","aircases.test_ai_upload.air","Fri Jun 27 10:27:01 CST 2025","passed","Fri Jun 27 10:27:26 CST 2025","","test_ai_upload","",""
"新建文件夹内笔记删除后在回收站恢复验证","82445","新建文件夹内笔记删除后在回收站恢复验证","aircases.test_recycle_bin_recovery.air","Fri Jun 27 11:47:45 CST 2025","passed","Fri Jun 27 11:49:08 CST 2025","","test_recycle_bin_recovery","",""
"办公本有历史会话时点击AI助手历史会话后加载失败弹出test","36770","办公本有历史会话时点击AI助手历史会话后加载失败弹出test","aircases.test_ai_history.air","Fri Jun 27 10:15:14 CST 2025","passed","Fri Jun 27 10:15:51 CST 2025","","test_ai_history","",""
"开启阅读模式,打开文档开启阅读模式和护眼模式文档阅读，开启阅读模式但关闭护眼模式文档阅读","48632","开启阅读模式,打开文档开启阅读模式和护眼模式文档阅读，开启阅读模式但关闭护眼模式文档阅读","aircases.test_reading.air","Fri Jun 27 11:40:29 CST 2025","broken","Fri Jun 27 11:41:18 CST 2025","","test_reading","",""
"已登录账号,阅读页面初始化，切换tab","10141","已登录账号,阅读页面初始化，切换tab","aircases.test_reading.air","Fri Jun 27 11:37:36 CST 2025","passed","Fri Jun 27 11:37:47 CST 2025","","test_reading","",""
"点击踩图标按钮，弹出反馈信息弹窗,在反馈弹窗中勾选选项、文本框输入内容","48495","点击踩图标按钮，弹出反馈信息弹窗,在反馈弹窗中勾选选项、文本框输入内容","aircases.test_ai.air","Fri Jun 27 10:10:05 CST 2025","passed","Fri Jun 27 10:10:54 CST 2025","","test_ai","",""
