"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"分析前，【隐藏说话人】开时，返回结果后，自动关闭全部【隐藏说话人】开关;分析后，【隐藏说话人】开时，则隐藏说话人及分析结果","61094","分析前，【隐藏说话人】开时，返回结果后，自动关闭全部【隐藏说话人】开关;分析后，【隐藏说话人】开时，则隐藏说话人及分析结果","a3testcases.test_zA3_recording_functions","Fri Jul 04 17:53:43 CST 2025","passed","Fri Jul 04 17:54:44 CST 2025","","test_zA3_recording_functions","",""
"下拉菜单显示新建便签入口","0","下拉菜单显示新建便签入口","a3testcases.test_a3_memo.air","Fri Jul 04 17:49:48 CST 2025","skipped","Fri Jul 04 17:49:48 CST 2025","","test_a3_memo","",""
"验证密码锁屏下长按无响应,锁屏状态下双击AI按键进行录音","0","验证密码锁屏下长按无响应,锁屏状态下双击AI按键进行录音","a3testcases.test_a3_ai_button.air","Fri Jul 04 17:41:01 CST 2025","skipped","Fri Jul 04 17:41:01 CST 2025","","test_a3_ai_button","",""
"选择一条便签，移动到笔记文件夹下","75176","选择一条便签，移动到笔记文件夹下","a3testcases.test_a3_memo.air","Fri Jul 04 17:44:07 CST 2025","passed","Fri Jul 04 17:45:22 CST 2025","","test_a3_memo","",""
"【笔记】>【标签】页面编辑功能","0","【笔记】>【标签】页面编辑功能","a3testcases.test_a3_memo.air","Fri Jul 04 17:49:48 CST 2025","skipped","Fri Jul 04 17:49:48 CST 2025","","test_a3_memo","",""
"验证无网络时AI助手仍可部分使用","0","验证无网络时AI助手仍可部分使用","a3testcases.test_a3_ai_button.air","Fri Jul 04 17:41:01 CST 2025","skipped","Fri Jul 04 17:41:01 CST 2025","","test_a3_ai_button","",""
"未登录账号，点击便签右侧的加密，提醒用户先进行登录，输入正确的手机号、验证码，可正常登录成功并进入设置笔记密码流程","108917","未登录账号，点击便签右侧的加密，提醒用户先进行登录，输入正确的手机号、验证码，可正常登录成功并进入设置笔记密码流程","a3testcases.test_a3_memo.air","Fri Jul 04 17:46:52 CST 2025","passed","Fri Jul 04 17:48:41 CST 2025","","test_a3_memo","",""
"移动加密便签/便签文件夹","0","移动加密便签/便签文件夹","a3testcases.test_a3_memo.air","Fri Jul 04 17:49:48 CST 2025","skipped","Fri Jul 04 17:49:48 CST 2025","","test_a3_memo","",""
"入口验证 应用 页面列表显示AI助手应用，下拉系统通知栏，点击AI助手，左侧菜单AI助手","33339","入口验证 应用 页面列表显示AI助手应用，下拉系统通知栏，点击AI助手，左侧菜单AI助手","a3testcases.test_a3_ai_helper.air","Fri Jul 04 17:41:01 CST 2025","passed","Fri Jul 04 17:41:35 CST 2025","","test_a3_ai_helper","",""
"点击查找替换时，隐藏AI分析说话人卡片；点击编辑按钮进入编辑状态时，隐藏AI分析说话人卡片","55560","点击查找替换时，隐藏AI分析说话人卡片；点击编辑按钮进入编辑状态时，隐藏AI分析说话人卡片","a3testcases.test_zA3_recording_functions","Fri Jul 04 17:52:48 CST 2025","passed","Fri Jul 04 17:53:43 CST 2025","","test_zA3_recording_functions","",""
"点击重命名，弹出重命名弹窗，删除便签后，在回收站彻底删除","89991","点击重命名，弹出重命名弹窗，删除便签后，在回收站彻底删除","a3testcases.test_a3_memo.air","Fri Jul 04 17:45:22 CST 2025","passed","Fri Jul 04 17:46:52 CST 2025","","test_a3_memo","",""
"画布左下角滑动/插入页面页面","0","画布左下角滑动/插入页面页面","a3testcases.test_a3_memo.air","Fri Jul 04 17:49:48 CST 2025","skipped","Fri Jul 04 17:49:48 CST 2025","","test_a3_memo","",""
"在便签分组下选择一个便签文件夹点击删除，先取消再确认，再在回收站里彻底删除","66710","在便签分组下选择一个便签文件夹点击删除，先取消再确认，再在回收站里彻底删除","a3testcases.test_a3_memo.air","Fri Jul 04 17:48:41 CST 2025","passed","Fri Jul 04 17:49:48 CST 2025","","test_a3_memo","",""
"开启录音，AI笔记默认模型是智能模型dfmpro","41528","开启录音，AI笔记默认模型是智能模型dfmpro","a3testcases.test_a3_aarecording_mode.air","Fri Jul 04 17:40:20 CST 2025","passed","Fri Jul 04 17:41:01 CST 2025","","test_a3_aarecording_mode","",""
